Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,3469.333984,3526.252930,3464.973633,3471.913330,3471.913330,5939770
2024-07-02,3471.913330,3491.904297,3444.568115,3456.776611,3456.776611,9551725
2024-07-03,3456.776611,3460.775146,3300.088623,3337.579346,3337.579346,6862315
2024-07-04,3337.579346,3344.918945,3158.833984,3186.099365,3186.099365,4044316
2024-07-05,3171.443848,3172.256592,2867.666992,3010.226807,3010.226807,9429401
2024-07-06,3010.226807,3110.020264,2990.179932,3104.731201,3104.731201,9924707
2024-07-07,3104.731201,3104.731201,2984.458740,2984.458740,2984.458740,2293815
2024-07-08,2984.458740,3092.573486,2888.227539,3068.260498,3068.260498,7769428
2024-07-09,3068.260498,3134.010010,3059.898438,3104.215088,3104.215088,2250084
2024-07-10,3104.215088,3142.876221,3087.481445,3137.882080,3137.882080,1788892
2024-07-11,3137.882080,3221.166016,3126.402344,3180.454590,3180.454590,2991993
2024-07-12,3180.454590,3191.359863,3114.172363,3162.108643,3162.108643,4197243
2024-07-13,3162.108643,3213.348877,3162.108643,3208.378174,3208.378174,7220082
2024-07-14,3208.378174,3291.984863,3207.919678,3291.984863,3291.984863,1273718
2024-07-15,3291.984863,3476.348389,3291.966553,3476.348389,3476.348389,2598550
2024-07-16,3476.348389,3526.037598,3456.830078,3505.017334,3505.017334,2447227
2024-07-17,3505.017334,3555.872314,3466.484863,3466.585938,3466.585938,1891239
2024-07-18,3466.585938,3525.687988,3456.791992,3503.230957,3503.230957,2608874
2024-07-19,3503.230957,3578.552734,3468.790771,3569.656494,3569.656494,260985
2024-07-20,3569.656494,3573.099121,3550.734863,3571.782959,3571.782959,664966
2024-07-21,3571.782959,3572.152100,3558.760742,3568.686523,3568.686523,329675
2024-07-22,3568.686523,3597.682617,3511.379150,3511.379150,3511.379150,2073160
2024-07-23,3511.379150,3580.098145,3494.826416,3546.316406,3546.316406,9254058
2024-07-24,3546.316406,3546.679688,3495.886719,3495.886719,3495.886719,1525999
2024-07-25,3495.886719,3495.976074,3207.972900,3231.410156,3231.410156,3557821
2024-07-26,3231.410156,3325.504639,3230.868164,3325.504639,3325.504639,3366812
2024-07-27,3325.505127,3361.677979,3310.548584,3334.289551,3334.289551,2663630
2024-07-28,3334.289551,3335.950684,3294.459717,3317.929199,3317.929199,2326720
2024-07-29,3317.929199,3442.646729,3317.929199,3400.513672,3400.513672,540450
2024-07-30,3400.513672,3400.513672,3339.537598,3339.846924,3339.846924,852015
2024-07-31,3339.846924,3391.564209,3295.175293,3295.184570,3295.184570,2337610
2024-08-01,3295.184570,3295.687256,3159.595459,3248.227051,3248.227051,3992136
2024-08-02,3248.227051,3265.046875,3053.660400,3057.149658,3057.149658,8044144
2024-08-03,3057.149658,3057.529297,2952.587891,2959.597412,2959.597412,3472472
2024-08-04,2959.597412,2969.949951,2721.005615,2767.269775,2767.269775,8932153
2024-08-05,2767.269775,2767.309814,2226.670410,2479.592285,2479.592285,174781519
2024-08-06,2479.592285,2573.631592,2474.625732,2535.413330,2535.413330,5621523
2024-08-07,2535.413330,2570.879150,2368.428467,2390.102051,2390.102051,3333131
2024-08-08,2390.102051,2718.961426,2373.004395,2709.599365,2709.599365,4438639
2024-08-09,2709.599365,2741.347900,2628.165039,2631.630859,2631.630859,6535635
2024-08-10,2631.630859,2682.464600,2631.418701,2649.984375,2649.984375,688038
2024-08-11,2649.984375,2714.791260,2599.724854,2604.319336,2604.319336,6350980
2024-08-12,2604.319336,2762.733398,2577.460205,2762.674316,2762.674316,3121862
2024-08-13,2762.674316,2772.493652,2685.280273,2685.333740,2685.333740,6112496
